ROC;Traitement;Broutement;PP_Bryo;PP_Vasc
3;1;B;11,0889853967372;39,2
3;1;NB;45,692937369224;79,9
3;4;B;105,106453983578;22,1
3;4;NB;77,0875478090293;63,8
3;5;B;37,8524232296356;55,8
3;5;NB;43,6477645009755;78
3;6;B;0,715661203361512;82,65
3;6;NB;39,7618254761113;90,55
3;9;B;69,8956944759548;41,95
3;9;NB;87,9829411960142;46,05
3;10;B;64,8677574377871;60,9
3;10;NB;114,255234928474;53,25
3;12;B;119,830950024816;93,1
3;12;NB;80,5037963485289;162,85
3;14;B;113,699849611242;449,25
3;14;NB;225,878540154218;183,3
4;1;B;36,7887975584256;69,85
4;1;NB;159,030041746091;59,2
4;4;B;161,794896138875;30,4
4;4;NB;309,371640212551;60,95
4;5;B;97,6674057003718;35
4;5;NB;63,0354265803687;47,4
4;6;B;36,8667956149532;32,25
4;6;NB;151,461120094482;67,75
4;9;B;127,126665912056;14,15
4;9;NB;86,1178837158431;43,35
4;10;B;118,491281362569;82,3
4;10;NB;51,8298059964727;30,5
4;12;B;158,735303641892;15,25
4;12;NB;112,502867487206;46,25
4;14;B;246,504195393084;16,75
4;14;NB;197,246983030681;31,45
5;1;B;51,3347791660078;40,2
5;1;NB;80,3433175588288;47,2666666666667
5;4;B;125,530952922786;58
5;4;NB;235,936707242069;22,7333333333333
5;5;B;43,303964529311;19,4666666666667
5;5;NB;68,425047554146;46,35
5;6;B;91,3626975164025;79,9333333333333
5;6;NB;132,83025414173;51,6333333333333
5;9;B;67,6960569018326;33,6666666666667
5;9;NB;98,7769330371219;20,2
5;10;B;158,298833498996;31,5666666666667
5;10;NB;161,1576500625;68,3666666666667
5;12;B;94,6685102203757;57,7666666666667
5;12;NB;282,397314986601;69,6333333333333
5;14;B;181,913394125081;317,433333333333
5;14;NB;92,8705733900537;399,1
6;1;B;206,794967050833;37,05
6;1;NB;280,9094495498;21,65
6;4;B;471,792503769423;79,1
6;4;NB;602,904058503766;66
6;5;B;220,024790596822;62,6
6;5;NB;297,884079568623;61,5
6;6;B;700,576163360265;59,4
6;6;NB;864,878210814151;116,65
6;9;B;367,759571990613;80,3
6;9;NB;419,699560680761;61,5
6;10;B;559,46410217854;38,95
6;10;NB;319,355069091377;51,95
6;12;B;340,852611924098;63,45
6;12;NB;389,818340472488;30,9499999999999
6;14;B;609,583759775453;56,2
6;14;NB;447,215992827977;110,4
7;1;B;87,5350668884911;39,9666666666667
7;1;NB;110,881150555643;63,0666666666667
7;4;B;92,0987457605217;44,9333333333333
7;4;NB;202,041698246174;44,45
7;5;B;53,5708787533637;23,95
7;5;NB;222,592155946806;56,9666666666667
7;6;B;160,161214417547;109,9
7;6;NB;147,33586486907;100,466666666667
7;9;B;147,309982712473;41,3333333333333
7;9;NB;152,903949254026;102,7
7;10;B;125,912308846888;77,2666666666667
7;10;NB;148,899505943349;101,5
7;12;B;189,10298075127;24,1333333333333
7;12;NB;218,277044976727;87,7666666666667
7;14;B;526,060521441035;166,7
7;14;NB;132,09841195213;234,033333333333
8;1;B;121,486143243818;28,2
8;1;NB;189,144113149847;33,15
8;4;B;241,523936740398;40,7
8;4;NB;238,137219129227;43,9
8;5;B;202,118994692268;42,3
8;5;NB;148,415629361329;77,55
8;6;B;192,769741353467;59,2
8;6;NB;162,656157210955;58,15
8;9;B;237,282193262873;73,75
8;9;NB;135,618992953122;74,05
8;10;B;261,142404755442;44,2
8;10;NB;128,683356312905;86,7
8;12;B;159,239836394228;73,75
8;12;NB;230,66135418814;114,05
8;14;B;139,401941387515;77,3
8;14;NB;66,2048943283511;117,85
